county,state,fips,date,Lat,Lon,cases,deaths,people_tested,state_cases,state_deaths,new_cases,new_deaths,new_state_cases,new_state_deaths
Los Angeles,California,6037,8/27/2021,34.30828379,-118.2282411,"1,407,317","25,284",,"4,360,789","65,873","1,930",21,"14,660",59
Los Angeles,California,6037,8/28/2021,34.30828379,-118.2282411,"1,407,317","25,284",,"4,360,789","65,873",0,0,0,0
Los Angeles,California,6037,8/30/2021,34.30828379,-118.2282411,"1,414,854","25,401",,"4,405,324","66,301","2,475",35,"10,613",119
Los Angeles,California,6037,8/31/2021,34.30828379,-118.2282411,"1,414,854","25,401",,"4,405,324","66,301",0,0,0,0
Los Angeles,California,6037,9/1/2021,34.30828379,-118.2282411,"1,419,030","25,454",,"4,418,368","66,470","2,111",20,"6,798",87
Los Angeles,California,6037,9/2/2021,34.30828379,-118.2282411,"1,419,030","25,454",,"4,418,368","66,470",0,0,0,0
Los Angeles,California,6037,9/3/2021,34.30828379,-118.2282411,"1,421,616","25,477",,"4,435,277","66,540","1,056",12,"11,581",48
Los Angeles,California,6037,9/4/2021,34.30828379,-118.2282411,"1,423,620","25,514",,"4,445,862","66,651","2,004",37,"10,585",111
Los Angeles,California,6037,9/5/2021,34.30828379,-118.2282411,"1,423,620","25,533",,"4,451,347","66,791",0,19,"5,485",140
Los Angeles,California,6037,9/6/2021,34.30828379,-118.2282411,"1,423,620","25,533",,"4,451,347","66,791",0,0,0,0
Los Angeles,California,6037,9/7/2021,34.30828379,-118.2282411,"1,427,817","25,611",,"4,462,876","66,975",0,0,0,0
Los Angeles,California,6037,9/8/2021,34.30828379,-118.2282411,"1,427,817","25,630",,"4,472,759","67,100",0,0,"4,165",42
Los Angeles,California,6037,9/9/2021,34.30828379,-118.2282411,"1,427,817","25,630",,"4,472,759","67,100",0,0,0,0
Los Angeles,California,6037,9/10/2021,34.30828379,-118.2282411,"1,433,465","25,688",,"4,489,563","67,223",0,0,130,2
Los Angeles,California,6037,9/11/2021,34.30828379,-118.2282411,"1,435,163","25,713",,"4,497,470","67,298",0,0,0,0
Los Angeles,California,6037,9/12/2021,34.30828379,-118.2282411,"1,437,073","25,767",,"4,608,351","67,645",0,19,"10,768",163
Los Angeles,California,6037,9/13/2021,34.30828379,-118.2282411,"1,439,011","25,775",,"4,610,847","67,672",0,0,0,4
Los Angeles,California,6037,9/14/2021,34.30828379,-118.2282411,"1,440,721","25,799",,"4,620,663","67,781",0,0,0,0
Los Angeles,California,6037,9/15/2021,34.30828379,-118.2282411,"1,442,808","25,828",,"4,629,254","67,880",0,0,0,0
Los Angeles,California,6037,9/16/2021,34.30828379,-118.2282411,"1,444,127","25,849",,"4,636,268","67,966",0,0,0,0
Los Angeles,California,6037,9/17/2021,34.30828379,-118.2282411,"1,445,121","25,852",,"4,644,566","68,019",0,0,0,0
Los Angeles,California,6037,9/18/2021,34.30828379,-118.2282411,"1,446,348","25,870",,"4,651,497","68,087",0,0,0,0
Los Angeles,California,6037,9/19/2021,34.30828379,-118.2282411,"1,448,065","25,911",,"4,659,062","68,239",0,0,0,0
Los Angeles,California,6037,9/20/2021,34.30828379,-118.2282411,"1,449,923","25,942",,"4,668,924","68,392",0,0,-185,12
Los Angeles,California,6037,9/21/2021,34.30828379,-118.2282411,"1,451,438","25,972",,"4,676,539","68,551",0,0,0,0
Los Angeles,California,6037,9/22/2021,34.30828379,-118.2282411,"1,452,998","25,999",,"4,678,891","68,585",0,0,0,0
